"date_start","country_territory_area","Mask","Business","Gathering","School","Movement","Travel","Binary","Ordinal"
2020-01-01,"China",13,NA,NA,NA,NA,NA,0,1
2020-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-04,"China",NA,NA,NA,55,NA,NA,0,3
2020-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-11,"China",NA,NA,NA,80,NA,NA,0,4
2020-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-13,"China",NA,NA,NA,80,NA,NA,0,4
2020-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-18,"China",NA,NA,NA,55,NA,NA,0,3
2020-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-20,"China",33,NA,NA,NA,NA,NA,1,1
2020-01-21,"China",33,NA,NA,NA,NA,NA,1,1
2020-01-22,"China",NA,NA,NA,NA,NA,NA,1,3
2020-01-23,"China",NA,NA,NA,NA,NA,NA,0,6
2020-01-24,"China",NA,NA,NA,NA,NA,NA,0,2
2020-01-25,"China",NA,NA,NA,NA,NA,NA,0,4
2020-01-26,"China",NA,NA,NA,NA,NA,NA,1,6
2020-01-27,"China",NA,NA,NA,NA,NA,NA,1,4
2020-01-28,"China",NA,NA,NA,NA,NA,NA,0,4
2020-01-29,"China",NA,NA,NA,NA,NA,NA,1,4
2020-01-30,"China",NA,NA,NA,NA,NA,NA,0,4
2020-01-31,"China",NA,NA,NA,NA,NA,NA,0,4
2020-02-01,"China",NA,NA,NA,NA,NA,NA,0,5
2020-02-02,"China",NA,NA,NA,NA,NA,NA,0,6
2020-02-03,"China",NA,NA,NA,NA,NA,NA,0,4
2020-02-04,"China",NA,NA,NA,NA,NA,NA,0,2
2020-02-05,"China",NA,NA,NA,NA,NA,NA,0,6
2020-02-06,"China",NA,NA,NA,NA,NA,NA,0,6
2020-02-07,"China",NA,NA,NA,NA,NA,NA,0,6
2020-02-08,"China",NA,NA,NA,NA,NA,NA,0,3
2020-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-10,"China",NA,NA,NA,NA,NA,NA,0,4
2020-02-11,"China",NA,NA,NA,NA,20,NA,0,2
2020-02-12,"China",NA,NA,NA,NA,NA,NA,1,4
2020-02-13,"China",NA,NA,NA,80,NA,NA,0,4
2020-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-15,"China",NA,47,NA,NA,NA,NA,0,2
2020-02-16,"China",NA,NA,NA,NA,NA,NA,0,4
2020-02-17,"China",NA,NA,NA,NA,NA,NA,0,5
2020-02-18,"China",NA,NA,NA,80,NA,NA,0,4
2020-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-20,"China",NA,NA,NA,NA,NA,NA,0,3
2020-02-21,"China",NA,NA,30,NA,NA,NA,0,2
2020-02-22,"China",NA,NA,NA,NA,NA,NA,0,6
2020-02-23,"China",NA,NA,NA,NA,NA,17,0,1
2020-02-24,"China",13,NA,NA,NA,NA,NA,0,1
2020-02-25,"China",NA,NA,NA,NA,NA,NA,0,3
2020-02-26,"China",NA,NA,NA,NA,NA,17,0,1
2020-02-27,"China",NA,NA,NA,NA,NA,17,0,1
2020-02-28,"China",NA,NA,NA,NA,NA,NA,0,2
2020-02-29,"China",NA,NA,NA,55,NA,NA,0,3
2020-03-01,"China",NA,NA,NA,NA,NA,NA,1,3
2020-03-02,"China",NA,NA,NA,NA,NA,NA,0,3
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,"China",NA,NA,5,NA,NA,NA,0,1
2020-03-05,"China",NA,NA,5,NA,NA,NA,0,1
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,"China",NA,47,NA,NA,NA,NA,0,2
2020-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,"China",NA,NA,NA,NA,0,NA,0,1
2020-03-16,"China",NA,NA,NA,NA,NA,NA,0,4
2020-03-17,"China",NA,NA,NA,NA,NA,NA,1,4
2020-03-18,"China",NA,NA,NA,NA,NA,NA,0,6
2020-03-19,"China",NA,NA,NA,NA,NA,NA,0,6
2020-03-20,"China",NA,NA,NA,NA,NA,NA,0,6
2020-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,"China",NA,NA,NA,NA,80,NA,0,5
2020-03-23,"China",NA,47,NA,NA,NA,NA,0,2
2020-03-24,"China",NA,NA,NA,NA,NA,NA,0,6
2020-03-25,"China",NA,NA,NA,NA,NA,NA,0,6
2020-03-26,"China",NA,NA,NA,NA,NA,NA,1,6
2020-03-27,"China",NA,NA,NA,NA,NA,67,0,4
2020-03-28,"China",NA,NA,NA,NA,NA,NA,1,6
2020-03-29,"China",NA,NA,NA,NA,NA,NA,1,6
2020-03-30,"China",NA,NA,5,NA,NA,NA,0,1
2020-03-31,"China",NA,NA,NA,25,NA,NA,1,1
2020-04-01,"China",NA,NA,NA,NA,NA,NA,0,6
2020-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,"China",NA,NA,NA,NA,NA,NA,1,6
2020-04-04,"China",NA,NA,NA,NA,NA,NA,0,2
2020-04-05,"China",NA,NA,NA,NA,NA,33,0,2
2020-04-06,"China",NA,NA,NA,NA,NA,NA,1,6
2020-04-07,"China",NA,NA,NA,NA,NA,NA,1,6
2020-04-08,"China",NA,NA,NA,NA,NA,NA,1,6
2020-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10,"China",NA,NA,NA,NA,NA,NA,0,3
2020-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12,"China",NA,NA,30,NA,NA,NA,0,2
2020-04-13,"China",NA,NA,NA,NA,NA,NA,1,4
2020-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-15,"China",NA,NA,NA,NA,NA,NA,1,2
2020-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-18,"China",NA,NA,NA,NA,NA,NA,0,6
2020-04-19,"China",NA,NA,NA,NA,NA,NA,1,4
2020-04-20,"China",NA,NA,NA,NA,NA,NA,1,3
2020-04-21,"China",NA,NA,NA,NA,NA,NA,0,6
2020-04-22,"China",NA,NA,NA,NA,NA,NA,1,6
2020-04-23,"China",NA,NA,NA,NA,NA,NA,0,4
2020-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,"China",NA,NA,5,NA,NA,NA,0,1
2020-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"China",NA,NA,NA,NA,NA,NA,1,4
2020-04-28,"China",NA,47,NA,NA,NA,NA,0,2
2020-04-29,"China",NA,NA,NA,NA,NA,NA,1,3
2020-04-30,"China",NA,NA,NA,NA,NA,NA,0,6
2020-05-01,"China",NA,NA,NA,NA,NA,0,1,0
2020-05-02,"China",NA,NA,NA,NA,NA,NA,0,3
2020-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"China",NA,NA,NA,NA,NA,NA,0,2
2020-05-05,"China",NA,47,NA,NA,NA,NA,0,2
2020-05-06,"China",NA,NA,NA,NA,NA,NA,0,3
2020-05-07,"China",NA,NA,NA,55,NA,NA,0,3
2020-05-08,"China",NA,NA,NA,NA,NA,NA,1,2
2020-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-10,"China",NA,NA,NA,NA,NA,NA,0,5
2020-05-11,"China",NA,NA,NA,NA,NA,NA,1,3
2020-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-13,"China",NA,NA,NA,NA,NA,NA,0,4
2020-05-14,"China",NA,NA,NA,NA,NA,NA,0,3
2020-05-15,"China",NA,NA,NA,55,NA,NA,0,3
2020-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-18,"China",NA,NA,NA,NA,NA,NA,1,5
2020-05-19,"China",NA,NA,NA,NA,NA,NA,1,2
2020-05-20,"China",NA,NA,NA,NA,NA,NA,0,5
2020-05-21,"China",NA,47,NA,NA,NA,NA,0,2
2020-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-23,"China",NA,47,NA,NA,NA,NA,0,2
2020-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-25,"China",NA,NA,NA,55,NA,NA,0,3
2020-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-27,"China",NA,NA,NA,55,NA,NA,0,3
2020-05-28,"China",NA,NA,NA,NA,NA,NA,0,2
2020-05-29,"China",NA,NA,NA,55,NA,NA,0,3
2020-05-30,"China",NA,47,NA,NA,NA,NA,0,2
2020-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,"China",NA,NA,NA,NA,NA,NA,0,3
2020-06-02,"China",NA,NA,NA,NA,NA,NA,0,6
2020-06-03,"China",NA,NA,NA,NA,NA,NA,0,5
2020-06-04,"China",NA,NA,NA,NA,NA,100,1,6
2020-06-05,"China",NA,NA,NA,NA,NA,67,0,4
